table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 7. Resident Population Estimates for the 100 Largest U.S. Counties Based on July 1, 2009 Population Estimates: April 1, 2000 to July 1, 2009",,,,,,,,,,,,,
Rank,Geographic Area,Population Estimates,,,,,,,,,,"April 1, 2000",
,,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
63,"San Francisco County, CA","815,358","808,001","799,185","786,149","777,660","773,284","775,046","779,281","784,631","777,360","776,731","776,733"
64,"Gwinnett County, GA","808,167","790,519","772,464","746,975","716,436","691,986","666,768","644,753","621,798","596,296","588,450","588,448"
65,"Kern County, CA","807,407","797,145","784,687","768,209","747,315","726,029","706,963","689,204","674,028","663,484","661,649","661,645"
66,"Worcester County, MA","803,701","799,343","796,024","792,315","787,246","782,748","778,060","771,243","762,851","752,684","749,973","750,963"
67,"Ventura County, CA","802,983","794,778","789,671","788,073","786,058","787,749","783,840","776,560","765,278","756,366","753,186","753,197"
68,"Pierce County, WA","796,836","787,099","774,049","764,241","749,468","741,321","736,260","728,555","716,248","703,985","700,819","700,820"
69,"Collin County, TX","791,631","763,438","732,986","699,675","659,840","627,748","596,599","568,810","537,779","500,162","491,772","491,675"
70,"Middlesex County, NJ","790,738","785,324","779,830","775,876","778,018","774,209","770,336","765,867","760,058","752,705","750,167","750,162"
71,"Baltimore County, MD","789,814","788,454","787,119","785,900","782,200","779,301","774,254","768,275","762,356","756,037","754,308","754,292"
72,"Montgomery County, PA","782,339","778,452","775,631","772,968","772,142","770,700","768,240","763,218","757,879","750,975","748,987","750,097"
73,"Essex County, NJ","769,644","767,075","769,139","772,090","778,819","785,389","790,601","792,992","793,099","792,302","792,313","793,633"
74,"Suffolk County, MA","753,580","742,724","728,819","715,799","712,228","710,282","711,144","711,464","705,348","691,238","689,809","689,807"
75,"El Paso County, TX","751,296","738,416","727,828","720,756","708,683","702,433","694,672","688,771","684,780","680,942","679,622","679,622"
76,"DeKalb County, GA","747,274","740,426","733,746","727,078","716,778","704,512","697,130","690,039","682,207","668,826","666,048","665,865"
77,"Essex County, MA","742,582","737,365","733,066","731,174","730,256","730,901","732,303","733,096","730,782","725,379","723,421","723,419"
78,"Hidalgo County, TX","741,152","721,275","701,862","683,719","665,475","646,523","627,164","607,449","588,533","573,398","569,471","569,463"
79,"Monroe County, NY","733,703","731,543","730,629","730,458","731,773","735,691","737,420","738,876","738,664","739,047","735,343","735,343"
80,"Multnomah County, OR","726,855","712,539","697,048","682,732","673,823","671,704","678,549","676,417","669,591","661,738","660,486","660,486"
81,"Jefferson County, KY","721,594","717,414","711,766","704,755","701,057","699,639","698,411","696,233","695,246","694,067","693,607","693,604"
82,"San Mateo County, CA","718,989","708,100","697,339","692,802","692,199","692,033","694,437","699,043","706,634","708,272","707,164","707,161"
83,"Oklahoma County, OK","716,704","706,116","699,523","693,007","685,871","679,913","676,646","672,324","665,401","661,841","660,450","660,448"
84,"Cobb County, GA","714,692","704,822","691,496","679,699","661,442","652,358","643,816","637,772","626,934","612,633","607,738","607,751"
85,"Lake County, IL","712,567","707,622","702,479","698,305","691,815","684,394","676,086","671,443","660,454","648,116","644,587","644,356"
86,"Jackson County, MO","705,708","700,699","685,246","680,604","675,996","671,389","666,782","662,174","658,051","655,773","654,880","654,880"
87,"Snohomish County, WA","694,571","685,296","675,805","663,645","649,229","639,440","632,925","629,671","621,144","609,117","606,031","606,024"
88,"Will County, IL","685,251","679,069","670,013","656,075","631,397","608,245","580,392","555,566","531,215","508,038","502,210","502,266"
89,"San Joaquin County, CA","674,860","668,753","665,246","659,897","654,451","640,964","625,236","608,367","591,000","567,968","563,603","563,598"
90,"Norfolk County, MA","666,303","661,359","656,122","652,750","650,996","652,283","652,781","654,144","653,482","651,227","650,306","650,308"
91,"Jefferson County, AL","665,027","663,394","661,477","661,447","659,715","660,016","660,486","659,766","661,494","662,214","662,062","662,047"
92,"Denton County, TX","658,616","637,516","615,172","589,882","558,026","533,323","512,229","489,526","464,862","438,994","432,973","432,976"
93,"Monmouth County, NJ","644,105","641,864","641,036","641,090","641,823","639,987","636,145","630,674","624,065","617,127","615,303","615,301"
94,"Bernalillo County, NM","642,527","635,444","628,825","619,490","607,825","594,644","582,986","573,726","562,515","557,158","556,002","556,678"
95,"Baltimore city, MD","637,418","638,091","640,150","640,961","640,064","641,004","642,324","642,246","645,253","648,654","651,154","651,154"
96,"Davidson County, TN","635,710","628,207","621,384","614,609","607,413","596,961","588,126","581,978","578,527","570,320","569,889","569,891"
97,"Providence County, RI","627,690","627,437","628,280","630,186","633,405","636,721","636,454","632,849","627,678","622,881","621,595","621,602"
98,"Bucks County, PA","626,015","623,562","621,334","619,245","616,047","613,691","610,131","607,465","603,241","599,454","597,632","597,635"
99,"Denver County, CO","610,345","593,086","578,789","568,692","561,323","558,506","558,351","561,072","564,411","556,094","553,691","554,636"
100,"Kent County, MI","608,315","604,723","602,392","598,649","594,988","591,861","589,458","586,423","582,158","576,507","574,336","574,335"
"Note: The April 1, 2000 estimates base reflects changes to the Census 2000 population resulting from legal boundary updates, other geographic program changes, and Count Question Resolution actions.  All geographic boundaries for the 2009 population estimates series are defined as of January 1, 2009.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 7. Resident Population Estimates for the 100 Largest U.S. Counties Based on July 1, 2009 Population Estimates: April 1, 2000 to July 1, 2009 (CO-EST2009-07)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: March 2010,,,,,,,,,,,,,
